Time,Type,Instrument,Product,Qty.,Avg. price,Status
10:48:18,BUY,BANKNIFTY 6th w APR 41300 CE NFO,NRML,0 / 275,20,CANCELLED
10:29:45,SELL,BANKNIFTY 6th w APR 41300 CE NFO,NRML,275 / 275,36,COMPLETE
10:29:26,SELL,BANKNIFTY 6th w APR 41300 CE NFO,NRML,0 / 275,36,CANCELLED
10:28:37,BUY,BANKNIFTY 6th w APR 40000 PE NFO,NRML,275 / 275,14.5,COMPLETE
10:28:08,BUY,BANKNIFTY 6th w APR 40000 PE NFO,NRML,0 / 275,28.00 / 27.95 trg.,CANCELLED
10:28:05,BUY,BANKNIFTY 6th w APR 40000 PE NFO,NRML,0 / 275,5,CANCELLED
9:23:31,SELL,BANKNIFTY 6th w APR 39600 PE NFO,NRML,0 / 25,0,REJECTED
9:20:27,SELL,BANKNIFTY 6th w APR 40000 PE NFO,NRML,275 / 275,18,COMPLETE
9:18:31,SELL,BANKNIFTY 6th w APR 40000 PE NFO,NRML,0 / 300,20,REJECTED
9:18:03,BUY,BANKNIFTY 6th w APR 41700 CE NFO,NRML,300 / 300,7.5,COMPLETE